jobID, profile_name, expected_runtime
10, "is.B.1", 9.257
11, "ft.B.1", 88.51
12, "lu.B.1", 279.99
13, "ft.C.1", 386.48
14, "lu.C.1", 1176.93
20, "is.B.2", 6.609
21, "is.C.2", 26.481
22, "ft.B.2", 62.08
23, "lu.B.2", 140.95
24, "ft.C.2", 265.8
25, "lu.C.2", 593.59
40, "is.B.4", 3.993
41, "is.C.4", 16.684
42, "ft.B.4", 35.932
43, "lu.B.4", 87.69
44, "ft.C.4", 151.94
45, "lu.C.4", 290.53
80, "is.B.8", 2.33
81, "is.C.8", 9.567
82, "ft.B.8", 19.294
83, "lu.B.8", 48.8
84, "ft.C.8", 80.71
85, "lu.C.8", 179.08
86, "ft.D.8", 2190.82
160, "is.B.16", 1.561
161, "is.C.16", 5.59
162, "ft.B.16", 10.346
163, "lu.B.16", 25.905
164, "ft.C.16", 41.998
165, "lu.C.16", 95.56
166, "ft.D.16", 1119.22
320, "is.B.32", 1.908
321, "is.C.32", 3.301
322, "ft.B.32", 6.31
323, "lu.B.32", 13.385
324, "ft.C.32", 22.671
325, "is.D.32", 46.028
326, "lu.C.32", 52.81
327, "ft.D.32", 568.66